year,age,maritl,race,education,region,jobclass,health,health_ins,wage
2009,47,2. Married,2. Black,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.53147891704226
2007,45,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,5.026343111649675
2009,52,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.5870158603291395
2007,46,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.388681861725951
2007,47,2. Married,3. Asian,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.750949760441272
2009,49,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.59061783348625
2007,36,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.65321251377534
2005,51,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.685440975177984
2008,46,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.163369417662372
2004,37,2. Married,3. Asian,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.2330505878551845
2005,23,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.17609125905568
2008,43,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.620056899633761
2006,34,2. Married,3. Asian,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.518173930927215
2008,58,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.786667210244705
2009,44,1. Never Married,3. Asian,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.567257124670867
2008,61,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.3017447828534845
2005,40,4. Divorced,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.17609125905568
2003,37,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.7160033436348
2003,33,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.735485629090456
2004,38,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.17609125905568
2006,41,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.60026243360792
2005,30,2. Married,2. Black,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.568250079172531
2003,51,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.26007138798508
2003,39,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.54406804435028
2006,56,2. Married,2. Black,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.84509804001426
2007,44,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.677146737607119
2005,51,4. Divorced,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.69897000433602
2006,35,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.669150252152081
2009,27,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.281805426400596
2003,47,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.98677173426625
2007,51,2. Married,3. Asian,Some College,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.39794000867204
2006,41,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.808927735211836
2005,63,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.30102999566398
2009,61,1. Never Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.295839299221096
2004,46,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.545408082264917
2009,33,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.38021124171161
2009,35,5. Separated,1. White,< HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.30102999566398
2003,28,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.47712125471966
2007,50,2. Married,3. Asian,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.77815125038364
2007,41,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.65082021253478
2008,23,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.7258172815574
2004,45,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.67209785793572
2007,63,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.60530504614111
2006,59,2. Married,2. Black,Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.69019608002851
2005,30,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.60046025477498
2003,30,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.7481880270062
2007,45,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.939285423059009
2005,42,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.510978335498768
2009,57,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.67209785793572
2003,52,4. Divorced,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,3.13385812520333
2003,54,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.74651743741465
2005,30,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.64345267648619
2003,47,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.327652747896413
2003,38,1. Never Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.75044127844004
2003,47,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.60205999132796
2008,39,1. Never Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,5.060987584428027
2005,50,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.47939762662272
2003,47,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.172915004324916
2004,45,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.480115450053569
2007,44,2. Married,1. White,< HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77815125038364
2003,52,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.471386866198579
2004,42,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.751110277082704
2004,18,1. Never Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,3.73062079788728
2006,56,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.727352849349807
2004,50,2. Married,3. Asian,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.41497334797082
2006,50,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.62689955920852
2006,53,1. Never Married,1. White,Some College,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.60205999132796
2009,38,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.17609125905568
2004,27,1. Never Married,1. White,< HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.43136376415899
2004,56,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.09691001300806
2003,50,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.39794000867204
2003,56,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.7396407423387394
2007,50,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.84509804001426
2005,49,1. Never Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.321719377305562
2005,42,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.65321251377534
2009,50,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,5.23044892137827
2003,53,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.03754323454749
2007,28,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.783410695309877
2003,45,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.286617766351116
2009,24,1. Never Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.157003106357752
2003,25,1. Never Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.39794000867204
2004,38,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.831239019074081
2009,47,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.720570104710351
2003,38,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.2080763871512055
2007,33,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.67209785793572
2006,39,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.62689955920852
2005,52,4. Divorced,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.264634113835489
2005,46,4. Divorced,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.558159551666923
2004,42,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.798866128030143
2003,61,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.136714164868649
2005,32,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.387797826254399
2009,42,4. Divorced,2. Black,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.032854226230292
2006,61,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.27875360095283
2009,27,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.638565794844926
2008,45,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,5.30102999566398
2003,58,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,3.469340540884965
2007,25,1. Never Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.599290158085758
2007,34,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.61278385671974
2005,44,2. Married,2. Black,Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.44715803134222
2007,40,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.41497334797082
2007,51,2. Married,2. Black,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.523379032531627
2003,50,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.79588001734407
2009,64,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.894201647033918
2003,54,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5
2008,42,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.569870356931228
2007,31,2. Married,3. Asian,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.366428420975786
2003,25,1. Never Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.434501240583752
2006,32,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.67209785793572
2007,51,2. Married,1. White,< HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.74036268949424
2007,75,2. Married,2. Black,< HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,3.97772360528885
2003,28,2. Married,4. Other,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.293682376926464
2009,28,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.18443650845512
2007,32,1. Never Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.56820172406699
2006,53,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.6072834161861
2008,36,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.57634135020579
2004,43,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.30102999566398
2004,51,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.76177028286847
2005,35,2. Married,2. Black,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.70870360331725
2004,46,5. Separated,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.510683104814983
2003,38,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.552381498995673
2004,43,2. Married,3. Asian,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.87188593086508
2004,39,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.857974908911356
2007,37,4. Divorced,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.81291335664286
2008,59,4. Divorced,1. White,Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.30102999566398
2003,33,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.639620264215864
2007,23,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.30102999566398
2006,37,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.47712125471966
2005,40,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,3.261614504345614
2006,25,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.54406804435028
2008,27,1. Never Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.47236942919954
2004,47,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,5.60688524128857
2008,52,2. Married,2. Black,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.30829432534329
2007,23,1. Never Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.359099579543575
2004,33,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.510075333055454
2005,37,1. Never Married,3. Asian,College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.879155281863453
2008,34,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.564358739419184
2003,51,5. Separated,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.888758529034314
2007,40,4. Divorced,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5
2007,50,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.363741669887243
2005,64,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.77815125038364
2008,54,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.38810120157052
2003,50,2. Married,2. Black,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.63531280871016
2004,32,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.71388617814457
2004,37,2. Married,2. Black,College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.833178605260102
2006,19,1. Never Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.17609125905568
2006,32,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.331059904394401
2004,42,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.60205999132796
2009,26,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.60205999132796
2009,46,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.06069784035361
2009,18,1. Never Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,3.90308998699194
2005,43,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.550554724927627
2003,62,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.7160033436348
2008,44,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.005168466636488
2005,40,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.89209460269048
2006,43,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,5.071475138254026
2004,32,1. Never Married,3. Asian,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.860631936900781
2006,48,1. Never Married,2. Black,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.343278866502695
2009,35,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.69897000433602
2006,61,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.8750612633917
2006,47,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.49136169383427
2005,55,4. Divorced,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.586276859758704
2008,28,4. Divorced,4. Other,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.333478187382617
2008,52,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,5.00860017176192
2009,27,1. Never Married,2. Black,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.63346845557959
2006,22,2. Married,2. Black,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.50514997831991
2006,20,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.238089579064874
2006,42,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.5832598471071995
2007,29,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.3885373159202565
2003,31,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.632866571500152
2008,59,4. Divorced,1. White,Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,5.02118929906994
2008,36,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5
2007,32,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.20411998265593
2005,32,1. Never Married,1. White,Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.64345267648619
2006,25,1. Never Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.60205999132796
2008,43,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.90308998699194
2008,44,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,3.7519003655209358
2009,57,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.75966784468963
2006,49,2. Married,2. Black,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.012772423240939
2007,41,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.125439330168208
2006,38,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.135192993433949
2004,58,2. Married,1. White,< HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.77815125038364
2004,59,2. Married,3. Asian,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.2430380486863
2005,39,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.07918124604763
2006,60,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.56467789772798
2007,56,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.841972845682496
2008,44,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5
2008,70,2. Married,2. Black,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.60205999132796
2009,27,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.155600941967277
2004,47,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.7022577045559215
2003,41,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.84509804001426
2008,29,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.65321251377534
2009,42,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.72427586960079
2007,51,4. Divorced,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,5.64100585131578
2009,47,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.463685678705798
2008,48,2. Married,2. Black,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.5752394780646215
2003,39,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,5.031298494515037
2005,23,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.392702090398596
2007,31,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.78532983501077
2005,59,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.790993739801422
2003,19,1. Never Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,3.30102999566398
2009,42,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.20411998265593
2004,35,2. Married,3. Asian,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.3467538661691245
2007,38,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.95424250943933
2006,45,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.74036268949424
2008,58,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.90969506679213
2006,26,1. Never Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.7634279935629404
2003,30,1. Never Married,3. Asian,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.834936543926043
2006,54,5. Separated,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.62689955920852
2008,38,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.7946877534900825
2005,44,2. Married,3. Asian,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.616097895667013
2003,52,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.502364350380077
2004,73,4. Divorced,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.2990611815757696
2006,65,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.65321251377534
2003,28,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.445962116611318
2009,53,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4
2006,53,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.49136169383427
2008,52,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.7976205711569095
2009,27,1. Never Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.561580783704535
2003,57,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.8750612633917
2004,32,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.394641124888303
2007,51,1. Never Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.9445349571439605
2008,43,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,3.8486054111143737
2004,50,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.95424250943933
2004,53,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.7481880270062
2007,54,2. Married,3. Asian,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.17609125905568
2007,24,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.32674754416227
2008,40,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.755318086594933
2003,30,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.459340330594596
2003,45,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.6944845425107165
2007,55,4. Divorced,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.758658856297782
2003,45,1. Never Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.94448267215017
2004,44,1. Never Married,2. Black,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.650898032812896
2004,37,3. Widowed,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.041298681924786
2008,41,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.7481880270062
2007,44,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.119653194623998
2007,52,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.477348813806414
